SampleID,GenBank,Class,Order,Family,Genus
SIMON.B4,XXXXX,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
SIMON.B6,XXXXX,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
SIMON.B8,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CB1,XXXXX,Chromadorea,Monhysterida,Linhomoeidae,Terschellingia
SIMON.CB14,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CB15,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.CB16,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CB17,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CB18,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CB19,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Ptycholaimellus
SIMON.CB2,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.CB5,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Setosabatieria 
SIMON.CB6,XXXXX,Enoplea,Enoplida,Oncholaimidae,Viscosia
SIMON.CB9,XXXXX,Enoplea,Enoplida,Oxystominidae,Oxystomina
SIMON.CF10,XXXXX,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
SIMON.CF11,XXXXX,Chromadorea,Monhysterida,Sphaerolaimidae,Sphaerolaimus
SIMON.CF13,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CF14,XXXXX,Enoplea,Enoplida,Tripyloididae,Tripyloides
SIMON.CF15,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Spilophorella
SIMON.CF17,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CF18,XXXXX,Chromadorea,Monhysterida,Linhomoeidae,Terschellingia
SIMON.CF2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CF5,XXXXX,Chromadorea,Chromadorida,Cyatholaimidae,Praeacanthonchus
SIMON.CF6,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.CF9,XXXXX,Enoplea,Enoplida,Oxystominidae,Halalaimus
SIMON.CP2,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Eumonhystera
SIMON.EB1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.EB2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.EB3,XXXXX,Chromadorea,Araeolaimida,Axonolaimidae,Ascolaimus
SIMON.EB4,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.EB5,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.EG3,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.EG7,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Atrochromadora
SIMON.EG8,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Prochromadorella
SIMON.EG9,XXXXX,Chromadorea,Chromadorida,Cyatholaimidae,Pomponema
SIMON.EH1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Metadesmolaimus
SIMON.EH2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.EH3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.EH4,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.EH5,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.EH6,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Hypodontolaimus
SIMON.FF3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.FF4,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.FF5,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.GV2,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.GV4,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystrella
SIMON.GV5,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.GV9,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.GW1,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Eumonhystera
SIMON.HB2,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Tridentulus
SIMON.HB3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.HH1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.HH2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Theristus
SIMON.K5,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Diplolaimella
SIMON.LA1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.LA2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.LA3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.LA5,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystera
SIMON.LA6,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.LA7,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.LB4,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Prochromadorella
SIMON.LB6,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystrella
SIMON.OI8,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.P3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RC1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RC2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RC4,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Chromadorita
SIMON.RC6,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystrella
SIMON.RF10,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Chromadora
SIMON.RF11,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RF12,XXXXX,Chromadorea,Desmodorida,Microlaimidae,Aponema
SIMON.RF14,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.RF6,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Prochromadorella
SIMON.RF7,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RF8,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.RF9,XXXXX,Chromadorea,Monhysterida,Linhomoeidae,Metalinhomoeus
SIMON.SBC1,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Diplolaimella
SIMON.SBC4,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Chromadorita
SIMON.SE13,XXXXX,Enoplea,Enoplida,Oxystominidae,Thalassoalaimus
SIMON.SE3,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Ptycholaimellus
SIMON.SE6,XXXXX,Chromadorea,Desmodorida,Desmodoridae,Metachromadora
SIMON.SK2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.SLH10,XXXXX,Chromadorea,Monhysterida,Linhomoeidae,Terschellingia
SIMON.SLH11,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.SLH2,XXXXX,Chromadorea,Plectida,Aegialoalaimidae,Aegialoalaimus
SIMON.SLH3,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.SLH4,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Innocunema
SIMON.SLH5,XXXXX,Chromadorea,Monhysterida,Sphaerolaimidae,Sphaerolaimus
SIMON.SLH7,XXXXX,Chromadorea,Desmodorida,Desmodoridae,Molgolaimus
SIMON.SLH8,XXXXX,Chromadorea,Desmodorida,Desmodoridae,Metachromadora
SIMON.SN2,XXXXX,Chromadorea,Araeolaimida,Axonolaimidae,Odontophora
SIMON.SN3,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Neochromadora
SIMON.SN4,XXXXX,Chromadorea,Monhysterida,Xyalidae,Trichotheristus
SIMON.SN5,XXXXX,Enoplea,Enoplida,Thoracostomopsidae,Enoploides
SIMON.SN6,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.T10,XXXXX,Chromadorea,Monhysterida,Anatonchidae,Iotonchus
SIMON.T4,XXXXX,Chromadorea,Plectida,Plectidae,Plectus
SIMON.T9,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystrella
SIMON.TN1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Rhynchonema
SIMON.TN10,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Neochromadora
SIMON.TN11,XXXXX,Chromadorea,Plectida,Leptolaimidae,Leptolaimus
SIMON.TN13,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.TN15,XXXXX,Chromadorea,Plectida,Leptolaimidae,Stephanolaimus
SIMON.TN2,XXXXX,Chromadorea,Monhysterida,Xyalidae,Paramonhystera
SIMON.TN3,XXXXX,Enoplea,Enoplida,Thoracostomopsidae,Enoplolaimus
SIMON.TN4,XXXXX,Enoplea,Enoplida,Thoracostomopsidae,Enoploides
SIMON.TN5,XXXXX,Chromadorea,Monhysterida,Xyalidae,Paramonhystera
SIMON.TN7,XXXXX,Chromadorea,Monhysterida,Xyalidae,Theristus
SIMON.TN8,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
SIMON.TN9,XXXXX,Enoplea,Enoplida,Oxystominidae,Thalassoalaimus
SIMON.WT1,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.WT2,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.WT6,XXXXX,Enoplea,Enoplida,Tripyloididae,Tripyloides
SIMON.WW1,XXXXX,Chromadorea,Monhysterida,Monhysteridae,Monhystrella
SIMON.WW2,XXXXX,Enoplea,Enoplida,Oncholaimidae,Viscosia
SIMON.WW4,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.WW5,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.WW6,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.XN1,XXXXX,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
SIMON.XN3,XXXXX,Chromadorea,Chromadorida,Chromadoridae,Dichromadora
SIMON.XN4,XXXXX,Chromadorea,Monhysterida,Xyalidae,Daptonema
SIMON.XN5,XXXXX,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
